TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1597175856847	0.140479	-119.168198	0.135995	0.707692	-0.000967	-0.001021	-0.706520	0.000000	0.000000	0.000000	3	0	1716.095825	19.748358	img__0_1597175856845904900.jpg
1597175857030	0.143762	-121.134628	0.136016	0.707682	-0.001020	-0.001077	-0.706530	0.000000	0.000000	0.000000	3	0	1708.644775	19.500484	img__0_1597175857028498100.jpg
1597175857234	0.146951	-123.076424	0.136029	0.707672	-0.001051	-0.001109	-0.706540	0.000000	0.000000	0.000000	3	0	1698.763672	19.255907	img__0_1597175857233215200.jpg
1597175857418	0.151807	-124.993904	0.136036	0.708174	-0.001167	-0.001026	-0.706036	0.000000	0.500000	0.000000	3	0	1683.887207	19.014235	img__0_1597175857417108500.jpg
1597175857603	0.183589	-126.886795	0.136045	0.715390	-0.002346	0.000089	-0.698722	0.000000	0.500000	0.000000	3	0	1656.484009	18.763432	img__0_1597175857602893800.jpg
1597175857810	0.277256	-128.751511	0.136055	0.732479	-0.004953	0.002399	-0.680768	0.000000	0.500000	0.000000	0	0	1607.118530	18.576717	img__0_1597175857809444800.jpg
1597175858000	0.455378	-130.597809	0.135890	0.754634	-0.007828	0.005478	-0.656076	0.000000	0.000000	0.000000	0	0	1552.157349	18.487724	img__0_1597175857999816900.jpg
1597175858208	0.696409	-132.426010	0.135951	0.768419	-0.009666	0.006553	-0.639840	0.000000	0.500000	0.000000	2	0	1570.094116	18.220686	img__0_1597175858207209700.jpg
1597175858405	0.998340	-134.211029	0.136041	0.777146	-0.011079	0.007082	-0.629183	1.000000	0.500000	0.000000	2	0	1856.816162	17.874712	img__0_1597175858404270100.jpg
1597175858609	1.377456	-135.946213	0.136097	0.790347	-0.012660	0.007701	-0.612480	1.000000	0.500000	0.000000	2	0	2456.057617	17.570940	img__0_1597175858607530900.jpg
1597175858811	1.842649	-137.631500	0.136074	0.808789	-0.014271	0.008426	-0.587865	1.000000	0.500000	0.000000	2	0	3003.041748	17.345943	img__0_1597175858809657200.jpg
1597175859013	2.392473	-139.271744	0.136001	0.826987	-0.015319	0.008910	-0.561942	1.000000	0.000000	0.000000	2	0	3461.469482	17.231464	img__0_1597175859011682900.jpg
1597175859216	2.997773	-140.885345	0.135887	0.835361	-0.014424	0.008530	-0.549446	1.000000	0.500000	0.000000	2	0	3834.930176	17.215361	img__0_1597175859214889500.jpg
1597175859408	3.665454	-142.473099	0.135770	0.841383	-0.013568	0.008189	-0.540206	1.000000	0.500000	0.000000	2	0	4150.607910	17.232990	img__0_1597175859407318300.jpg
1597175859608	4.405825	-144.029358	0.135689	0.852554	-0.013497	0.008038	-0.522404	1.000000	0.500000	0.000000	2	0	4426.324219	17.254688	img__0_1597175859607151200.jpg
1597175859802	5.228415	-145.546585	0.135618	0.868483	-0.014274	0.008192	-0.495446	1.000000	0.000000	0.000000	2	0	4664.930664	17.306295	img__0_1597175859800550600.jpg
1597175860011	6.120930	-147.033997	0.135540	0.880949	-0.014126	0.008059	-0.472931	1.000000	0.500000	0.000000	2	0	4863.854492	17.424356	img__0_1597175860009741800.jpg
1597175860209	7.074602	-148.497177	0.135463	0.888122	-0.013664	0.007776	-0.459339	1.000000	0.500000	0.000000	0	0	5001.671875	17.465464	img__0_1597175860207807400.jpg
1597175860409	8.096924	-149.908569	0.135573	0.898164	-0.014412	0.007281	-0.439364	1.000000	0.500000	0.000000	0	0	4830.622070	17.382219	img__0_1597175860408202800.jpg
1597175860614	9.191860	-151.256348	0.135536	0.911692	-0.015582	0.007384	-0.410513	1.000000	0.500000	0.000000	3	0	4458.287598	17.429159	img__0_1597175860613107100.jpg
1597175860799	10.371487	-152.543610	0.135465	0.925700	-0.017108	0.007625	-0.377795	1.000000	0.500000	0.000000	3	0	4519.451660	17.535822	img__0_1597175860798537700.jpg
1597175861003	11.634233	-153.767914	0.135396	0.937727	-0.018240	0.007734	-0.346808	1.000000	0.000000	0.000000	3	0	4551.062500	17.702168	img__0_1597175861001610600.jpg
1597175861206	12.958608	-154.954514	0.135333	0.943021	-0.017264	0.007356	-0.332204	1.000000	0.500000	0.000000	3	0	4577.578125	17.901030	img__0_1597175861204690100.jpg
1597175861400	14.343584	-156.098419	0.135294	0.946508	-0.016138	0.006854	-0.322202	1.000000	0.500000	0.000000	3	0	4622.458496	18.073887	img__0_1597175861398703700.jpg
1597175861611	15.790715	-157.187561	0.135291	0.952857	-0.015749	0.006312	-0.302946	1.000000	0.500000	0.000000	3	0	4677.657715	18.210564	img__0_1597175861610563000.jpg
1597175861794	17.302454	-158.208633	0.135287	0.961736	-0.016340	0.005924	-0.273427	1.000000	0.500000	0.000000	3	0	4729.060547	18.336676	img__0_1597175861793191600.jpg
1597175861999	18.876949	-159.158508	0.135270	0.969933	-0.017065	0.005658	-0.242707	1.000000	0.000000	0.000000	3	0	4752.010254	18.513397	img__0_1597175861998922200.jpg
1597175862200	20.502583	-160.058594	0.135242	0.974056	-0.016531	0.005309	-0.225639	1.000000	0.500000	0.000000	3	0	4784.501953	18.688873	img__0_1597175862198649800.jpg
1597175862400	22.178862	-160.900986	0.135236	0.977010	-0.015789	0.004984	-0.212548	1.000000	0.000000	0.000000	3	0	4802.982422	18.898035	img__0_1597175862398919400.jpg
1597175862608	23.893490	-161.712845	0.135212	0.978182	-0.013673	0.004499	-0.207251	1.000000	0.500000	0.000000	3	0	4827.922852	19.102917	img__0_1597175862606917200.jpg
1597175862816	25.647514	-162.483276	0.135208	0.980458	-0.012334	0.004009	-0.196299	1.000000	0.500000	0.000000	3	0	4871.157227	19.270369	img__0_1597175862814836900.jpg
1597175863009	27.444487	-163.188919	0.135226	0.985029	-0.012819	0.003658	-0.171873	1.000000	0.000000	0.000000	0	0	4963.035156	19.352718	img__0_1597175863007592900.jpg
1597175863210	29.267426	-163.830139	0.135384	0.988904	-0.013198	0.002898	-0.147943	1.000000	0.000000	0.000000	0	0	4793.307129	19.296412	img__0_1597175863209066200.jpg
1597175863410	31.106846	-164.419678	0.135368	0.990723	-0.012991	0.002716	-0.135249	1.000000	0.500000	0.000000	4	0	4181.489258	19.421858	img__0_1597175863409419600.jpg
1597175863594	32.984348	-164.938843	0.135322	0.992946	-0.013763	0.002725	-0.117737	1.000000	0.500000	0.000000	4	0	4082.534912	19.582941	img__0_1597175863593952800.jpg
1597175863796	34.898521	-165.370148	0.135300	0.995884	-0.015443	0.002548	-0.089276	1.000000	0.000000	0.000000	4	0	4003.182617	19.723974	img__0_1597175863795482000.jpg
1597175863991	36.845848	-165.724121	0.135269	0.997841	-0.016132	0.002403	-0.063614	1.000000	0.000000	0.000000	4	0	3905.003906	19.913589	img__0_1597175863990316700.jpg
1597175864198	38.822495	-166.016449	0.135244	0.998602	-0.015858	0.002233	-0.050373	1.000000	0.500000	0.000000	4	0	3844.551270	20.081486	img__0_1597175864197289100.jpg
1597175864389	40.823746	-166.225861	0.135259	0.999332	-0.016285	0.001884	-0.032676	1.000000	0.000000	0.000000	4	0	3810.671875	20.219109	img__0_1597175864387109200.jpg
1597175864592	42.847065	-166.366562	0.135257	0.999757	-0.015669	0.001679	-0.015425	1.000000	0.000000	0.000000	4	0	3756.392578	20.401678	img__0_1597175864590543200.jpg
1597175864799	44.891548	-166.462891	0.135242	0.999865	-0.013895	0.001585	-0.008570	1.000000	0.000000	0.000000	4	0	3716.671387	20.585384	img__0_1597175864797154300.jpg
